69862 16243
34796 43909 571874400
45688 15160 381693553
54709 52928 37140666
32947 48720 504635698
26485 25469 765663111
11799 59363 880907905
58797 63165 244941425
59057 55609 127252678
54814 28471 811399845
48936 29081 843277771
42744 15201 248101066
49447 62897 705770827
24558 5347 166117015
36672 2171 922048500
45320 42942 672305975
43675 63344 3574731
3359 9772 401821491
57558 3164 84885662
68223 34702 963553487
18968 21825 960287078
54038 51665 669728996
10911 18341 562876768
3744 15756 153205899
27398 40782 597967901
22186 49093 213763595
53929 858 830902178
9117 67313 472759696
5283 33418 307177757
20836 53828 975817894
52104 31331 713607534
13048 55212 543245090
56230 17162 916801411
13733 35596 608710576
22684 23653 667451982
44820 42290 716153432
65051 15422 994971186
30935 60712 932840989
31821 42819 656070281
66001 68836 448247494
2569 53517 371072793
30946 58267 897241016
4420 58864 657809879
55866 39589 861987786
49182 3118 22409643
43108 57559 372341527
47160 50146 30471358
62059 13633 417457010
69239 35728 708809261
58251 66572 350196396
42302 56662 452421010
49541 29664 244049615
61459 21902 374854685
7464 5679 697642957
19770 35373 419745930
56958 1144 514026315
28773 54183 799206479
60517 25656 704172198
3883 28502 765271794
4694 63893 495663901
46932 17871 708270554
16433 5084 70978187
68434 40923 256470433
24515 58194 261634985
5924 39982 911255256
29726 40442 673413552
68197 7085 768224081
26551 54282 584898495
32627 17153 433329965
68897 38465 573766158
21109 6829 355067075
32463 10860 224355793
1618 30917 490809641
1426 16927 534745756
41731 50433 747939423
2572 29121 45689524
24822 17123 486697176
18789 1472 488698959
17192 49106 484013027
16414 27312 832569281
65111 249 187009013
37246 9211 549295591
38333 67805 961470361
62814 48463 189520002
69385 3384 329620974
69199 51173 514410637
32328 64191 123161993
52101 50437 388513928
54574 9052 528509057
18036 35026 196077738
3754 13154 513871776
11802 48906 232753115
23241 18948 117929598
57987 52558 349479803
50170 56949 887827636
51512 25387 485158477
19163 10981 672450671
26187 62205 26581057
25977 39726 943349778
2054 39668 866307211
16666 2613 834230089
61889 16268 380252787
47314 42528 658518626
940 43350 546885929
35766 12506 743146732
28112 42206 959138287
45115 5029 479560584
45286 30537 200763449
57610 6342 942864414
48606 40148 281969323
6563 51136 384263257
21610 64660 539260471
27283 37721 599180236
24495 9347 343514194
44045 21355 357294483
20694 15404 158120388
43898 29928 687878933
69792 2856 688866782
69556 3921 797692182
47363 13538 389801547
30675 61625 828460307
68686 17658 984159157
34234 27381 77758148
57008 28150 167837605
35856 66679 511665269
31062 11477 93482067
22199 35111 591971929
52841 61886 297351127
4994 38544 333877639
12141 65703 848564071
7223 34007 148085422
61750 53782 36895471
30277 21787 260439149
53941 29544 81266817
63391 29224 571461842
16040 65416 921859934
23284 33376 13607674
49916 29505 703944928
12999 46729 966625819
5412 52886 329880417
30835 45910 405960759
38471 9917 809080549
60612 1190 576755935
23604 15124 537597740
66246 63339 876451029
2288 24190 459684841
4253 46119 513413701
4535 23888 845873934
39719 15965 611429222
45945 42171 302377405
9223 50684 186785075
29314 55549 943237656
51792 15508 240948229
9904 28913 63918370
62323 13953 655973002
6301 52054 34159336
30520 2186 461380650
50032 22876 710356946
19508 15342 214204880
9987 23216 438776608
21135 51186 403522749
23085 8015 747126824
13267 23567 844164401
20806 26073 932746904
32167 11729 170349181
5434 49058 584405318
24517 13514 846703501
17148 23239 647489272
50181 11748 367613647
58637 11910 382547120
39093 37686 951992304
9257 51547 492984492
55092 10138 410550286
67597 19911 735370722
13765 51023 731716030
21257 65613 836232065
31973 10599 78924196
21342 46968 79387771
44162 33799 93519945
61645 43630 908484904
44414 51562 248299084
29798 12931 349549527
2268 26333 431962023
8870 52658 41224609
7194 23556 553058054
34406 3848 9049191
54116 47059 237166305
5211 14748 314164537
69117 27771 743203322
41658 13658 83875123
46978 20844 985455399
11517 62276 931535019
23698 4116 786887982
68957 61212 907856593
21482 2631 936699103
49328 44373 567470557
42404 49341 263003628
45210 218 317154111
38406 35630 532939279
30226 55852 145228062
44044 49000 555975105
48468 42137 150267978
28745 33901 31185226
40423 13548 838413216
21523 22030 216629730
56518 45719 750453398
31632 19064 366940808
3270 6263 837749989
12908 64977 917666985
52978 36366 470900532
10502 18648 373887885
67220 54066 712775381
47356 60404 585409104
22964 58628 777989382
17391 64557 926519570
54423 28747 272305885
64027 40395 399122511
37484 38499 317415954
27070 55302 571818986
16346 32984 503320942
12861 64468 552260054
54249 869 587993550
66244 38741 208582326
57545 41803 145894242
65406 6534 974669892
23471 43673 646750997
32970 27256 14120297
5936 42791 614133898
17402 37185 136003556
6782 4735 964676182
37877 18648 690602588
66151 27971 763775730
30566 58464 972242851
54020 17450 992916517
46408 50330 577249578
338 51103 936962858
19385 44723 865279092
59400 43699 981330023
38830 30579 749345080
17243 36459 522559992
46966 60372 402515630
46164 5456 67191139
33325 6452 212928313
57930 34700 52320224
24407 30913 254788885
1762 54429 187453831
27461 44860 371682677
10301 36021 27132806
11086 47567 29184345
9088 67950 289090466
19581 4042 742859930
1119 28594 688862634
25900 58967 332945117
68648 528 279435441
37651 38811 773099577
5613 17538 205292562
26067 13231 554189741
13365 5298 980323149
11473 47091 688089252
40661 27998 875803566
11627 21183 843661035
13085 15217 601185559
49134 35667 390092629
54837 45389 509626332
46600 39090 391332866
31882 69294 107837459
792 30381 369202187
65002 61528 58135413
42002 60138 638137368
57027 34415 207861722
46663 44769 941668648
13881 47500 43074951
43082 20085 410796668
34720 67288 665828789
4070 20919 881068611
4561 48376 603377854
9948 61080 737631854
33378 11305 873098026
26754 33342 157397011
22179 3256 355745567
28136 67986 502721606
10456 46727 534498340
60799 57188 867504981
42705 46033 753219154
52923 6940 188887677
16702 10756 392757220
13800 53699 368250436
65436 69857 585750848
48634 69402 941809357
40661 37719 955533935
1315 46104 126141172
66496 64254 808319262
62916 59047 160946711
34673 4810 742314981
33544 55488 544188750
51541 40709 58858280
37501 10155 779024035
19830 58354 21323578
25279 27404 740422810
21344 17059 962199659
40860 49641 965794353
55392 39571 856707412
44339 27953 168676727
44789 14133 827932655
29748 2457 310085881
49471 23807 220635423
43656 21974 44982494
7298 22011 58973489
14843 41490 924361155
30780 4324 848541619
30955 19984 174105344
56085 43585 400609368
38485 7912 113065671
63971 26211 530806510
7399 36153 282524873
24485 4120 886988238
5443 35285 616635367
48599 19476 614364874
23503 49037 367726443
35675 44535 887058774
53630 66131 192705199
36724 29456 601572014
54808 29986 845922276
18782 21265 782388444
9415 35893 24335941
21251 53131 174681559
55134 2705 683436952
39714 392 501927412
60365 4874 715514446
61495 1109 531136739
64022 33893 731881202
11152 2531 617198936
57009 47380 34312494
18002 29423 831898987
4439 58436 814822939
27484 10725 292755933
68224 49944 421544940
5006 37044 431485143
50362 20014 598135322
58227 38044 79947329
52407 32669 859803453
41540 16194 927747495
22504 9229 410184593
23233 26320 835096620
56728 12822 480153149
54448 38667 467451655
19724 1888 861162830
64291 43276 29393166
62455 48134 939227171
12508 25522 155899260
48750 18268 386659286
20165 38010 41040304
38156 45856 452999482
50089 14597 641151180
25283 61949 9960743
28474 23818 5413277
29853 33937 871700556
55141 8870 494189765
6138 63912 84207036
2086 24300 601862821
50459 9752 999657915
30495 64422 448082479
46571 68896 268426184
19604 53045 500752515
27425 14584 423393191
22841 62528 102421919
10703 53192 816443759
44231 26116 87465448
45918 13378 942790807
44244 26352 367046386
52716 14340 617648669
33675 27688 511923909
22733 56909 878313060
48888 5717 138272843
59901 31537 750971851
33688 35245 368697911
9583 15110 146159137
49608 35772 690973125
50356 18679 858509084
28160 65771 328493397
56804 59806 741858567
35992 27016 476753407
12600 7801 553276177
65102 25740 975872800
11855 65188 924515726
65682 7344 24966307
3549 20314 241279577
46280 15550 493305437
1520 56346 790285002
2081 52793 548442624
69807 41216 907393674
30944 12834 429152075
16846 39884 69913920
23759 3856 657853193
19592 26246 123358604
68084 4013 393399650
28346 41588 19276525
3200 10870 629909738
72 24670 935696539
4273 47520 139245469
46362 21212 869309942
40901 4488 193183273
34467 38759 278525579
47373 15062 97435475
48455 48668 398194739
13083 54160 706241974
5431 46384 52056837
8823 6280 557860087
60111 29728 847688911
52825 58942 211952766
35104 20207 995788764
26605 20974 93498912
49307 56144 721511636
6287 68221 420542250
44480 17684 115516897
39200 25069 928459616
1844 35406 255287368
58332 16624 546694802
3044 34095 109543669
14000 1683 869299054
48091 13607 410097613
6911 44380 372003813
28741 27186 418273289
29618 56990 202536216
61998 9705 28097716
42363 48683 916559136
5141 61657 558554076
62240 31116 670075874
52199 41772 285329461
19021 5339 287727527
22500 28173 657271900
43378 49807 973177613
67671 69566 254424378
34087 22951 519995032
29461 3396 681175298
14112 33068 145536986
31614 12170 891803637
38599 60059 612336416
18228 34267 864856451
52822 48172 593033302
8787 25771 995820927
30995 7747 478070804
20465 61382 307353951
58405 51273 84124870
62405 44253 868205551
68446 41223 623202284
15065 62073 62515341
62575 35416 461652403
65840 60386 88537214
22146 54118 110947565
30154 57334 400374588
44695 65346 805303160
64637 63270 323695461
62387 16798 742585167
37971 28960 830643068
12872 53070 404247866
43569 60562 58369108
58881 11216 949616626
50742 68291 501605083
58958 63440 730841010
45347 49578 692997447
29140 17230 487488189
50123 52209 261059228
36142 39187 648880164
28696 33515 996794208
42814 55031 431089306
38833 50256 57003985
41310 30872 580084078
50019 42734 204619687
26342 57054 585892248
31447 3477 71791693
69769 15020 555245185
43957 32234 85926177
30843 14432 466545978
59340 52545 592646312
8216 45732 839635589
66324 65960 437719602
11928 56107 653717609
27791 63950 694784134
64498 4008 410753418
11893 30498 321015508
43261 47688 444969294
11783 34895 130825109
35542 30621 760518747
53420 48172 279310898
63945 20918 91637871
34339 27589 297851841
42434 32557 444890560
63820 6477 167940093
50677 22390 824859103
21346 608 714734495
42104 20573 391959356
13085 1778 787167888
17306 42508 185021904
6552 22682 599214954
32655 17668 239564213
14405 34313 768308457
60655 40122 782036605
67462 66806 18077617
59204 47906 130061795
11024 15855 965994716
1398 25258 887006073
52500 46238 913582811
63827 46283 236743115
39490 28378 589432972
62967 47658 559292219
16537 51467 430583978
21166 55555 609687655
9012 23693 822744388
4282 19304 842928015
29059 38638 683685820
49131 42925 195214974
7341 53901 102456462
49848 12006 978503911
13558 48129 714075310
4000 15369 885059288
14872 33546 300009101
40074 44942 721520223
30295 63380 288947662
55088 64489 152764994
51544 19794 995641333
57282 10105 163119484
36705 27276 83527647
34151 44664 694633702
34691 10831 187747848
41318 25105 390438741
48087 23298 364735658
62718 7837 700787828
45241 52491 158568367
16611 26931 140334545
26592 55946 726677347
54960 6357 541858922
9819 56940 459634409
61266 31458 157535833
17376 5444 181446291
24585 21416 363875953
7561 62168 14105953
22634 66098 816381872
62629 22396 743595552
60320 11645 302803112
41356 10358 211106904
11487 43642 129232604
29850 16885 34647390
25015 26638 319333943
16809 34243 611394911
61636 58488 388725983
17934 14910 811853667
24172 5470 698997062
62859 30786 169479331
66362 21372 517078996
43848 53158 456296618
21173 58204 385832086
9303 67465 316776742
8681 64835 246318843
66730 37849 801729243
58856 27115 591977109
27023 23103 766474000
20985 63940 770259037
35834 66564 954018201
21923 5515 562691694
1027 50866 717418240
10973 61388 797098123
40456 63321 245944607
51137 65073 248491803
56817 23884 930134234
31089 62727 702616538
47797 53131 855340485
64996 31263 656766696
52755 31974 810958705
53057 1892 16693359
16512 16120 516215569
18334 43459 776381636
754 57441 327334919
17772 58480 59549134
66613 42547 118190039
44220 24831 542363704
17084 28813 747160156
8848 67398 54844612
58884 45368 885289973
14429 57410 459484065
12209 1380 120989546
65790 60728 676093999
38072 69565 381209272
62305 31570 150566218
56877 25059 392657280
21405 11861 518824084
36637 64649 327510535
42123 19984 865545328
30051 7036 466180314
31016 15649 54912706
63451 33732 661451079
50279 66505 339647307
29 23481 521857763
32158 727 928822172
53888 2585 12910328
11595 31549 348034028
43971 20549 527155863
36218 58382 3051810
52879 34037 749421306
28434 51103 324102856
24648 13680 542818476
64056 44193 418328601
7015 32880 776612053
40206 12713 672638172
44050 53394 215594001
35824 2499 828214583
59947 3319 870233763
6290 24831 282223437
66204 61506 999524495
58884 62839 754488038
42661 30938 96607163
13361 68060 256297183
34648 62796 867303301
3090 46439 875616976
10059 13320 229719853
31413 52102 995164051
37521 58055 390723349
66761 6736 385319055
19728 2999 596507056
55306 3845 866880917
66367 13181 645729264
43386 42563 45794209
66086 50348 904559252
34860 68844 218127485
47910 61286 255978228
58355 5539 375996511
41882 67326 167673170
57360 18075 563183317
16476 68036 776262618
19894 22993 613319123
68229 8804 766518430
25629 66346 369897038
21584 27591 673344097
67868 54496 992985456
59827 6028 546955714
10338 25156 677494929
56849 12786 747575040
46050 20573 869430185
43566 58653 19503581
15771 42502 316808075
1083 35764 932591292
3734 40055 237282298
17401 56973 408865325
48848 28820 100171180
8115 26100 218854940
58870 63836 672878494
69285 51001 325289210
14684 62099 954219791
64623 33623 402234256
54030 35546 425749435
58258 16256 773837802
25139 64872 151384557
61548 34503 45879961
31161 45178 611409236
51507 25098 706026524
37518 4301 599105435
42343 5999 878289257
65645 60381 96108176
2832 47924 278379496
35378 68363 134961612
25981 67194 674016216
42894 24150 207968770
53534 59620 778715166
41441 9377 14477553
28328 24346 167165668
46072 67955 814354838
12318 52877 453671178
37787 46655 258505080
17930 39331 824584127
36637 25104 613251380
31704 21859 828484795
14865 66218 150445412
50655 65599 669131909
1590 37573 99732113
62234 59212 969519849
35533 1023 628579996
48384 12741 399408714
62033 15525 658763327
67553 15413 925138449
24805 51380 549711289
64248 67117 395715599
48094 38071 66136056
54764 21296 52157176
26271 29735 696143065
22289 48259 66157502
63420 18409 211098800
23329 34808 274332887
69157 64609 713947434
53390 17580 453258741
67484 33700 921552761
52790 19234 441420372
43804 5825 283668585
3507 15037 564389119
13054 19100 365229328
592 66748 197482420
28829 6254 335576398
58339 5185 965705436
17817 63778 895412542
15490 68311 142510905
15246 24558 595945281
6779 60482 969688739
7878 45259 755433564
2220 37000 758469983
35465 36779 900174325
10114 69128 330706440
27671 7024 965280569
34831 60313 263939804
20712 22166 276250485
19592 35967 629705486
27702 23613 167910941
5422 50562 186981286
27939 16235 407932727
13700 23139 507030053
16366 8094 65374496
25297 35536 224606453
46295 24803 894432978
7290 38622 37793602
4367 62369 141795882
3075 49943 51731480
12877 9051 202439079
44227 7007 187729291
18423 58595 635369772
20142 20716 357390436
62788 62187 991849449
44857 27509 193343411
32816 52568 350460784
12276 12618 406068472
8285 54253 59574613
45743 61087 601699013
49985 41356 347779582
9904 69691 132204952
33888 59093 674368366
59504 62686 861060775
112 44279 937711072
68331 36812 714054095
33713 57627 306488978
34845 47269 351186478
1468 10711 810728981
60575 12753 458476857
21489 38969 224660936
41846 16636 633968936
63546 37160 909236112
6636 63625 463333816
7906 59005 802319357
12259 57625 725467552
48297 31132 218653379
26364 55595 814851829
51273 32150 262146570
51016 19581 481228218
36409 29585 57991715
42184 53012 214997353
53482 30037 302431964
30517 43310 585373457
14135 61589 605866607
64653 10101 538308921
17207 69402 528753048
63397 29130 63694386
66159 8142 155299308
23635 44808 272870553
49517 54532 277899130
65084 52041 444447331
45353 32556 541055200
27536 19357 565669111
18106 45328 198514494
30235 39530 581686498
32162 48800 534850803
39765 43522 904083815
47475 15817 992616877
44697 31993 441785903
61393 66614 476184312
60356 62367 322652485
11382 27203 894711854
24311 42333 23099357
29858 11341 921211978
19217 4949 386568202
4483 24376 536610480
54796 57553 760262330
38287 25829 55852001
42875 33809 84057948
5184 66302 215709850
6834 16662 388399796
45813 2896 37671565
52044 51071 510869704
18344 14137 701306583
41534 23429 282768538
22263 19005 485893950
41510 65185 19333637
67953 1546 908852531
56611 32921 984303119
43247 19256 61166718
60188 33561 779366743
11422 10733 505595757
69645 33154 128177553
13605 16323 475796107
39635 61606 245661546
66887 7458 110376166
7267 42155 385681983
63209 47493 788785546
61833 22743 480236158
56075 25776 269381277
1405 67171 999021658
13899 60354 212808495
48448 16798 141189538
50454 52906 626196181
29417 61544 617733500
43852 67706 926908695
27865 13331 477312348
9654 604 732148222
49833 53221 415993516
32414 6095 102340192
47937 31737 35327477
16720 35478 136671833
5417 9436 121265246
6414 64105 663006843
10616 59886 562014910
67618 64350 887871056
57578 11932 897191937
29872 12792 884936555
67283 55902 307932161
5181 69343 20170155
10138 29974 838985988
21621 27223 387675079
68860 26456 504793482
36718 33686 799011383
2200 13988 22635661
22890 49848 687406645
986 42695 143128732
29836 12038 756332265
13129 52984 962039972
36185 66628 834187074
21281 30951 514512458
16851 7037 663763333
12494 20174 730977118
4556 52953 28588048
10304 63745 882744360
6825 38057 603049918
47580 48469 336296888
41816 50022 31710713
50524 48152 399690659
41038 57124 231430799
19503 27933 883057534
43472 25280 256419380
52431 69438 287624172
19909 57286 181547628
30831 17271 752027935
38621 31352 583105094
41868 43487 806145168
59305 26773 279101212
29342 45487 120326653
59006 33417 545906861
9460 34333 470528246
64395 68518 208023264
32011 65422 801626951
62839 6236 308941645
29956 20808 988080167
63651 30077 263696609
58319 2674 895790682
3878 46161 10524619
27261 34632 619620761
10200 28112 887676219
65401 24425 487164992
38211 24489 318544714
48017 2559 82808776
66948 35306 956283839
28239 37841 432631243
14707 43738 144538380
67266 61445 407391426
38694 65755 18253387
66054 58730 563496163
23014 32803 173990257
6760 7616 398053534
38006 67103 132526417
40929 43617 659912164
21558 54800 164000440
50984 5297 670302079
61908 41790 254671766
41474 48134 80117932
35897 29299 249393017
24052 17720 749881262
13315 2338 573782558
68849 35128 836100315
64500 46258 449451195
18444 9014 436907576
15478 33048 706545850
65091 55444 393394158
55392 64337 422060275
55739 50472 444695799
6608 15289 671342041
39162 20230 554202800
58943 54723 81056890
3149 26887 953527788
61442 36269 641568854
7077 5593 625098758
6516 1369 255332220
17659 15311 686188745
61389 57926 801344698
6178 59993 788238285
49345 39514 950281297
36569 9293 373250397
44870 17791 442094344
52506 57416 450753516
65096 13300 451859082
9506 41999 88082845
5452 55110 241368893
58237 64072 158976836
67379 52257 233504878
57808 43680 922528460
757 22894 448371970
50101 25208 80510543
48698 2303 700423628
34845 41122 306807206
46159 37309 125820353
16604 30359 872175129
22156 45847 732106068
19563 39574 958871225
17199 11233 972627246
25982 26317 364629895
31753 18562 99103372
22726 1550 91604726
46654 57044 869744106
44134 61769 341029031
47906 58614 434024821
64364 47145 700170115
8561 5459 103722282
65018 15202 975821825
7268 48828 599802145
13714 66177 783425150
52382 62 427313145
23417 18671 841647884
28634 15229 73654285
45289 34270 855417487
6083 25213 915408559
44227 16814 926198145
62786 60551 678658700
36135 67498 6364247
49 26380 503542667
29531 15712 800192773
68155 6370 963007304
62252 63124 285951177
15828 40472 547018280
67977 64578 129995422
16800 12881 577846101
21737 6418 531551149
47421 23274 912178957
49572 68369 750750524
54987 59759 970151518
41022 63399 797315374
7252 49096 847444678
9223 49785 334619973
19011 6684 848126310
25491 59455 662661167
18182 45646 867548537
12043 4527 744747361
68182 6137 586654782
54348 48967 301338924
8430 62120 757527744
12155 4729 783958557
58900 22329 70382788
48975 12952 341461505
29634 55459 715419400
53930 69512 50778739
55227 25445 643339298
48519 7011 489036993
32606 50221 704022778
21944 60860 270817103
2097 64621 504720955
5845 35747 59330928
5799 5519 7064501
47597 50035 158539306
27783 13716 644801883
42526 43663 875381079
53759 69099 614894787
56739 58344 981814065
28725 8634 258608885
20798 29343 90646369
19065 4785 143800639
59859 67293 417586858
68061 33856 201762032
40711 54573 76253533
26230 68581 976126248
2573 16021 10697822
6037 23997 889845540
49860 32812 66853271
38026 16930 301645176
64611 3717 169859191
5997 51721 618506919
48040 39232 880642925
26509 46193 576831148
146 23084 482825949
53611 16584 157766232
5479 38367 306055084
63076 15611 305338490
35479 54784 81809373
19009 14854 663680330
32711 26553 585912251
57324 48196 743766081
46620 53369 443225463
27269 66099 686288059
22036 64164 716491441
5903 51201 360842651
36857 68240 459643130
64610 19748 83561632
39135 39782 30496918
14179 6794 970278735
35633 7838 846795325
48767 64849 193356581
52789 39090 989124064
44317 45873 427965056
42587 8028 286013305
7767 67183 576288846
34428 65470 681912966
39829 37980 191059417
36509 44559 573436468
11420 58760 880170051
10717 25022 980789332
21760 65458 435909047
19697 2915 620145317
1537 52989 681375342
48329 42923 824402574
51499 13569 423052564
15683 6243 384378455
39107 35014 534026889
17745 61480 903317603
32783 16055 157738085
63692 42688 742901688
66402 22623 477228343
1554 54092 135812485
68860 67684 634094664
62649 17781 83832579
22469 4141 540989175
63375 59877 271588438
69283 39137 559047817
2240 36841 693657650
38420 47102 491756599
9524 43423 70386387
42328 9969 979105849
27226 7851 672131424
26201 2186 512703839
67795 48401 567891234
46520 46443 756404443
69815 17584 220080722
15635 58300 387167603
53914 47332 625357948
65465 12268 824181694
53553 65237 49505351
64510 45008 509563595
53172 20321 963077058
67811 60743 227680132
29939 61495 413393732
10098 19456 122044076
66497 19629 83839070
21581 31902 423247444
28389 21914 665900710
41629 62493 243209043
55084 29470 946953134
38304 2088 585762870
68863 35048 239988176
127 9692 449749742
32891 53620 635115455
69036 63547 191055531
25377 52286 993236589
60187 1673 277821605
54592 18748 71393128
54075 42577 661962162
690 58442 702901114
50843 52946 109054888
40322 10659 929465106
51240 66674 207649455
51497 33149 376776669
29725 65561 723474250
31081 55802 224161945
5147 25928 49423076
41781 52035 320896000
56212 29753 260335054
17221 13564 744666032
8908 66570 976609077
23182 4839 698683891
64186 65276 17905204
48264 45427 953614966
41124 11781 367933267
606 55579 405429757
1749 21153 689751322
51334 24548 537824444
937 47141 736527002
42985 58690 486636883
68221 9166 940624897
62888 30468 192645598
29998 55086 552809226
2338 19685 309211087
40583 27031 508160266
9108 62755 94397672
58378 18608 12497722
20728 2432 184228597
11817 18138 982870997
34816 58537 80540060
19264 21902 520377781
62305 42065 948920127
64379 43060 849331249
47802 28591 405128889
18811 49409 201001282
45988 17490 218808032
39584 45003 632951418
33904 35382 625458364
23470 56921 697621844
22959 44213 513446571
2433 49864 638607490
66561 52288 924192973
11902 66853 481062657
49644 24678 968643124
34076 10909 591718112
57144 56231 224367047
44755 64169 924838472
45814 37371 510676360
41187 2384 412010803
52065 55039 162235044
26490 17856 430995005
42318 17701 409223783
35521 56459 536600741
40939 39036 535641328
61075 23161 573951003
59190 42703 490235963
51156 5092 296720968
10103 52260 439075524
39417 33165 780927889
62643 6113 80753387
27830 38702 967723495
3647 7035 825293399
46672 21489 862080258
53860 23710 620259884
59822 52267 420715378
64514 9806 940678224
22423 44990 389469924
5708 53799 763893304
45046 69097 966711410
47073 46664 50795260
19827 54374 548752430
25370 15736 921119680
4401 59201 97083975
26206 65715 815410781
51700 5281 591524757
66520 14401 995340851
51334 68739 251378171
67229 42266 718027376
29908 65534 668148094
7876 15164 509947904
13372 20493 792874353
62748 15249 901621388
16428 22567 103593951
32821 1495 4549625
65762 51524 28755278
42716 35245 403302469
17074 59970 765234375
2584 41064 411888025
58445 13735 59899482
49781 37206 242097178
41019 4080 312371657
64643 3730 828208878
11922 23316 423281634
61671 40722 254161307
16798 35207 64951775
33260 46998 481019912
58588 23669 251674546
35518 9715 313811566
58265 2428 746091623
19137 13943 19027747
9283 50925 565638253
61401 32212 426428734
41924 38221 165836462
53764 17066 798984471
41788 15 105623326
25170 62132 734521015
13577 40165 831171198
30868 47385 800973924
23897 23203 148074955
59481 63028 940566623
5251 52095 422089866
821 22411 542794448
66519 54813 58244584
46899 60988 993246850
41254 51015 226078148
32271 36196 295220984
23760 37468 431094859
3405 35668 456783230
25127 9145 848670849
29355 35741 832386006
48093 64341 807613953
21815 53125 931366796
56799 22131 799256423
49529 62806 114113524
57272 58439 527106810
5514 28593 658704023
57363 68943 596474035
48392 19339 724061146
2673 65208 265855195
22941 66146 294193712
54366 3184 182616203
15207 18374 590924798
3222 18253 827866650
45692 28638 811940664
35081 23237 186640469
1108 22127 382831288
48925 40166 259716737
9442 59479 129158960
16080 43357 319546863
68633 26617 281612866
15661 18461 490756540
14460 18414 847479042
17409 36745 683050962
7164 33621 53494611
35912 41949 95169425
67566 63456 540471717
51363 7165 156374141
25857 42988 903454702
10317 5161 654306078
27086 27983 152635055
54589 56202 785485924
45946 38535 31908828
51900 9931 874428782
28780 10059 783161816
9801 32121 552297343
22005 52117 643599955
35226 68852 663310316
21961 8849 84486148
12159 52950 142951449
15885 55300 499579736
69009 24815 312820582
5857 37679 902984497
8074 54370 595677937
11253 4043 956470955
38909 9088 989356154
3333 17140 618679270
45018 67022 39430726
60789 62951 707638907
46653 69052 543130351
10623 67105 791120282
16199 34374 75150275
60650 24346 134775122
30030 36120 981233162
43749 21288 619481439
15266 14064 958883293
12952 13256 909794945
64470 63496 364440547
26793 32642 463034895
42297 57043 428858383
22724 54885 748105771
57717 56734 933107204
63283 65244 267244874
1904 62133 710603123
54831 44344 447396990
17166 17788 496852780
43437 41219 529641050
68732 38445 614943475
46090 13553 910562832
10172 36261 898809851
12321 50624 816687224
25383 17581 451461698
9649 47094 185754156
65270 30557 489673987
42444 35635 744210005
36937 7897 804864336
55405 32882 208058906
7000 16703 870854483
54423 10648 185416453
9997 20342 549949492
12408 220 926768808
33630 43827 594700371
8080 31697 502537148
28164 45284 925921069
8205 1074 545433486
58428 28023 460146047
13842 42468 767367558
53297 56208 974366037
32327 26479 814140361
37426 27935 68124878
45316 2189 256849574
37368 25887 983816106
5377 43428 375774747
50988 27817 727424537
23475 18876 302891601
45048 61008 286656544
30403 53082 725993135
57170 63679 599916105
59261 49075 790295892
31942 22880 200941439
23411 37340 516271966
2329 14358 748074928
42494 18012 948195550
68603 30122 114987994
14944 8786 602426416
54408 37842 341847813
32908 30045 815362612
14056 67927 337728135
9665 2922 777300075
11760 51396 833916426
49154 33408 993566990
37647 15239 496588779
52288 11579 516958156
64713 37324 174563859
19914 6440 117306226
17564 5915 506724560
57914 68802 772390475
22162 22900 179398208
60471 44510 250093747
16706 1588 414074279
69045 3399 67157784
1160 27122 557944711
57804 43936 586753858
40924 63338 880413761
55263 21151 135815040
45553 5343 188100018
39942 12527 721222577
55496 36221 910798983
2239 15263 881903893
65730 10794 4641685
54718 6562 938017423
37692 23114 691039208
19340 24531 884561991
24037 49502 974136684
55132 11754 350696106
38220 49110 181033938
67185 22628 571794805
31092 65557 250441036
40169 36815 885579868
68994 51835 573647251
29364 25672 661442096
19553 60668 184824736
10988 37165 541274974
1169 30672 71647074
52303 38704 925513619
2193 26976 70088664
53876 21320 487573748
31827 38425 799234138
46593 43413 223217443
25045 53261 890021847
50681 16137 700739681
22331 59992 450887808
30129 65195 468169498
27676 28122 242479278
8730 22035 406389654
45034 52363 268802490
11181 20424 168016142
68201 60418 790038582
8613 60489 650724513
20946 28781 849448044
3076 8343 742053963
54750 24187 493139115
18661 8724 910775779
34868 32355 77773868
34246 10280 126267423
57598 69042 309028504
27534 51430 553119786
54794 1746 781007732
1378 56970 579957667
37741 4918 804072634
50118 54569 498493278
15138 15865 32382093
48829 6304 759542576
12238 53850 907523606
10770 68429 258806989
63425 37168 801415409
25443 31542 790147821
44508 59392 905046777
41227 43221 638617235
30828 1771 542791403
26193 46573 112529702
53577 42152 274732009
55923 18212 715828995
61211 32708 264923656
50343 19148 933314813
11642 49939 237072574
35398 67308 210525471
39094 69718 878506499
48714 20965 446828019
36051 42860 209927368
5203 58975 647344614
13319 13135 875217502
18329 31696 95980684
69260 17215 335743690
64249 28914 734345693
29132 7832 571864222
23260 57092 955699512
67656 4324 161810106
38979 12746 195838771
69391 10043 491631835
41561 42301 336140590
42085 58208 625192032
28802 55989 344373716
48039 38775 696410446
32246 50609 725983792
53272 41960 344655186
22219 46288 257006004
29471 27195 113249687
43044 57738 963785196
35872 66528 93104279
19453 33459 192246481
56082 25821 929582929
55532 24484 631847414
6834 26167 972429409
24377 38174 950166405
45651 17967 668983778
2101 52607 65697236
5975 3523 154196615
426 66966 420824653
